48 23.4735 N  004 25.7524 W
48 22.7901 N  004 25.8820 W
48 22.0442 N  004 28.3325 W
48 21.3853 N  004 30.4774 W
48 20.3982 N  004 34.1089 W
48 19.4192 N  004 35.4513 W
48 16.5390 N  004 45.2978 W
48 12.7850 N  004 45.2531 W
48 07.5187 N  004 36.2856 W
48 07.8846 N  004 18.5702 W
48 08.2789 N  004 18.5701 W
48 08.1688 N  004 30.1195 W
48 08.5905 N  004 30.1469 W
48 08.7469 N  004 19.0645 W
48 09.1311 N  004 19.0920 W
48 09.0305 N  004 30.1607 W
48 09.4245 N  004 30.1058 W
48 09.5624 N  004 19.6413 W
48 07.3353 N  004 36.3611 W
48 12.7575 N  004 45.3905 W
48 16.5735 N  004 45.4797 W
48 19.4649 N  004 35.4822 W
48 20.4347 N  004 34.1364 W
48 21.4170 N  004 30.4903 W
48 22.7930 N  004 25.8804 W
48 23.3300 N  004 25.7756 W
