48 23.473500 N  4 25.752420 W
48 22.790100 N  4 25.882020 W
48 22.044180 N  4 28.332480 W
48 21.385320 N  4 30.477420 W
48 20.398200 N  4 34.108920 W
48 19.419180 N  4 35.451300 W
48 16.539000 N  4 45.297780 W
48 12.784980 N  4 45.253080 W
48 7.518720 N  4 36.285600 W
48 7.884600 N  4 18.570180 W
48 8.278920 N  4 18.570120 W
48 8.168820 N  4 30.119520 W
48 8.590500 N  4 30.146880 W
48 8.746920 N  4 19.064520 W
48 9.131100 N  4 19.092000 W
48 9.030480 N  4 30.160680 W
48 9.424500 N  4 30.105780 W
48 9.562380 N  4 19.641300 W
48 7.335300 N  4 36.361080 W
48 12.757500 N  4 45.390480 W
48 16.573500 N  4 45.479700 W
48 19.464900 N  4 35.482200 W
48 20.434680 N  4 34.136400 W
48 21.417000 N  4 30.490320 W
48 22.792980 N  4 25.880400 W
48 23.329980 N  4 25.775580 W
