t (in s);latitude;longitude;distance (in m)
1443097614.244816;42.953945;10.601842;32.500000;
1443097630.607540;42.954035;10.601829;37.000000;
1443097655.188256;42.954035;10.601817;39.300000;
1443098151.616703;42.953954;10.601805;33.000000;
1443098184.183382;42.953927;10.601805;36.800000;
1443098233.038826;42.953999;10.601915;38.200000;
1443098314.282309;42.954044;10.601780;39.800000;
1443098322.438632;42.954044;10.601780;38.200000;
1443098330.467916;42.954044;10.601780;36.200000;
1443098338.623796;42.954044;10.601780;34.900000;
1443098346.654302;42.954044;10.601780;33.300000;
1443098362.967494;42.954035;10.601780;34.900000;
1443098371.203254;42.954035;10.601780;35.300000;
1443098379.327847;42.954035;10.601780;35.700000;
1443098387.563040;42.954035;10.601780;36.700000;
1443098395.689231;42.954035;10.601780;37.500000;
1443098428.363563;42.954017;10.601756;40.400000;
1443098436.599479;42.954017;10.601756;40.700000;
1443098575.461842;42.953990;10.601731;65.400000;
1443098591.824444;42.953990;10.601731;68.500000;
1443098657.153771;42.954035;10.601891;70.400000;
1443098689.882820;42.953990;10.601731;83.400000;
1443098706.199489;42.953990;10.601719;87.400000;
1443098714.434900;42.953990;10.601719;89.900000;
1443098722.561372;42.953990;10.601719;91.400000;
1443098730.797370;42.953990;10.601719;93.000000;
1443098738.859768;42.953990;10.601719;94.200000;
1443098755.144593;42.953990;10.601719;98.200000;
1443098803.916639;42.953936;10.601891;83.500000;
1443098820.219446;42.954035;10.601866;92.500000;
1443098836.503170;42.954035;10.601756;93.900000;
1443098877.175930;42.954026;10.601743;93.700000;
1443098885.239487;42.954026;10.601743;94.300000;
1443098893.442113;42.954026;10.601743;94.800000;
1443098966.492793;42.954017;10.601743;96.800000;
1443099007.179081;42.953990;10.601743;93.500000;
1443099015.241754;42.953990;10.601743;94.100000;
1443099031.524412;42.953981;10.601743;95.800000;
1443099039.729427;42.953981;10.601743;97.000000;
1443099047.838529;42.953981;10.601743;97.300000;
1443099162.238390;42.954026;10.601928;84.700000;
1443099178.567897;42.954044;10.601805;84.100000;
1443099219.493882;42.954044;10.601792;88.800000;
1443099227.619523;42.954044;10.601792;89.300000;
1443099235.854315;42.954044;10.601792;90.000000;
1443099243.979428;42.954044;10.601792;90.600000;
1443099333.606913;42.954044;10.601780;96.000000;
1443099341.657410;42.954044;10.601780;96.000000;
1443099349.892237;42.954044;10.601780;96.000000;
1443099358.017531;42.954044;10.601780;96.400000;
1443099366.252320;42.954044;10.601780;95.400000;
1443099374.360344;42.954044;10.601780;94.100000;
1443099390.718874;42.954035;10.601768;92.000000;
1443099398.936488;42.954035;10.601768;91.200000;
1443099407.047401;42.954035;10.601768;91.600000;
1443099423.392153;42.954026;10.601743;93.500000;
1443099480.645748;42.954017;10.601743;96.700000;
1443099513.335414;42.954017;10.601731;98.900000;
1443099521.460896;42.954017;10.601731;99.100000;
