t (in s);lathat;longhat;acousticmodem_lathat;acousticmodem_longhat;acousticmodem_rhat;t_raw (in s)
1443097716.245815;42.954063;10.602272;42.953945;10.601842;32.500000;1572.659577;
1443097732.623551;42.954063;10.602272;42.954035;10.601829;37.000000;1589.037315;
1443097757.235415;42.954063;10.602272;42.954035;10.601817;39.300000;1613.649167;
1443098253.641737;42.954001;10.602164;42.953954;10.601805;33.000000;2110.055510;
1443098286.213402;42.954057;10.602169;42.953927;10.601805;36.800000;2142.627179;
1443098335.094940;42.954047;10.602274;42.953999;10.601915;38.200000;2191.508695;
1443098416.313329;42.953963;10.602244;42.954044;10.601780;39.800000;2272.727102;
1443098424.462667;42.953964;10.602223;42.954044;10.601780;38.200000;2280.876432;
1443098432.548977;42.953964;10.602202;42.954044;10.601780;36.200000;2288.962744;
1443098440.651797;42.953965;10.602180;42.954044;10.601780;34.900000;2297.065553;
1443098448.683345;42.953966;10.602159;42.954044;10.601780;33.300000;2305.097107;
1443098465.015525;42.953965;10.602153;42.954035;10.601780;34.900000;2321.429312;
1443098473.244284;42.953978;10.602153;42.954035;10.601780;35.300000;2329.658040;
1443098481.333908;42.953994;10.602153;42.954035;10.601780;35.700000;2337.747676;
1443098489.601067;42.954010;10.602154;42.954035;10.601780;36.700000;2346.014876;
1443098497.729241;42.954026;10.602155;42.954035;10.601780;37.500000;2354.143109;
1443098530.372575;42.954058;10.602157;42.954017;10.601756;40.400000;2386.786346;
1443098538.678613;42.954058;10.602157;42.954017;10.601756;40.700000;2395.092369;
1443098677.478839;42.954106;10.602400;42.953990;10.601731;65.400000;2533.892613;
1443098693.860448;42.954115;10.602440;42.953990;10.601731;68.500000;2550.274210;
1443098759.160757;42.954156;10.602603;42.954035;10.601891;70.400000;2615.574520;
1443098791.903863;42.954177;10.602684;42.953990;10.601731;83.400000;2648.317637;
1443098808.211501;42.954185;10.602727;42.953990;10.601719;87.400000;2664.625263;
1443098816.493934;42.954188;10.602748;42.953990;10.601719;89.900000;2672.907709;
1443098824.580386;42.954191;10.602770;42.953990;10.601719;91.400000;2680.994215;
1443098832.857413;42.954193;10.602791;42.953990;10.601719;93.000000;2689.271167;
1443098840.864773;42.954195;10.602812;42.953990;10.601719;94.200000;2697.278568;
1443098857.180615;42.954199;10.602856;42.953990;10.601719;98.200000;2713.594376;
1443098905.955686;42.954201;10.602887;42.953936;10.601891;83.500000;2762.369474;
1443098922.219446;42.954201;10.602887;42.954035;10.601866;92.500000;2778.633212;
1443098938.555210;42.954196;10.602885;42.954035;10.601756;93.900000;2794.968981;
1443098979.205951;42.954195;10.602866;42.954026;10.601743;93.700000;2835.619718;
1443098987.288523;42.954211;10.602866;42.954026;10.601743;94.300000;2843.702324;
1443098995.445101;42.954216;10.602866;42.954026;10.601743;94.800000;2851.858879;
1443099068.529831;42.954172;10.602912;42.954017;10.601743;96.800000;2924.943594;
1443099109.192108;42.954173;10.602851;42.953990;10.601743;93.500000;2965.605875;
1443099117.244748;42.954177;10.602850;42.953990;10.601743;94.100000;2973.658514;
1443099133.573451;42.954209;10.602852;42.953981;10.601743;95.800000;2989.987201;
1443099141.755447;42.954225;10.602853;42.953981;10.601743;97.000000;2998.169212;
1443099149.886632;42.954226;10.602853;42.953981;10.601743;97.300000;3006.300409;
1443099264.257402;42.954160;10.602885;42.954026;10.601928;84.700000;3120.671165;
1443099280.586908;42.954161;10.602841;42.954044;10.601805;84.100000;3137.000779;
1443099321.507871;42.954207;10.602842;42.954044;10.601792;88.800000;3177.921679;
1443099329.656546;42.954223;10.602843;42.954044;10.601792;89.300000;3186.070308;
1443099337.932451;42.954236;10.602843;42.954044;10.601792;90.000000;3194.346215;
1443099346.036488;42.954233;10.602843;42.954044;10.601792;90.600000;3202.450263;
1443099435.638945;42.954168;10.602938;42.954044;10.601780;96.000000;3292.052733;
1443099443.709437;42.954152;10.602937;42.954044;10.601780;96.000000;3300.123195;
1443099451.911252;42.954147;10.602937;42.954044;10.601780;96.000000;3308.325024;
1443099460.019541;42.954148;10.602938;42.954044;10.601780;96.400000;3316.433311;
1443099468.284324;42.954148;10.602921;42.954044;10.601780;95.400000;3324.698093;
1443099476.401374;42.954150;10.602899;42.954044;10.601780;94.100000;3332.815185;
1443099492.743991;42.954151;10.602856;42.954035;10.601768;92.000000;3349.157814;
1443099500.995531;42.954151;10.602834;42.954035;10.601768;91.200000;3357.409293;
1443099509.091446;42.954151;10.602824;42.954035;10.601768;91.600000;3365.505205;
1443099525.405159;42.954163;10.602824;42.954026;10.601743;93.500000;3381.819117;
1443099582.693778;42.954245;10.602825;42.954017;10.601743;96.700000;3439.107531;
1443099615.359439;42.954245;10.602825;42.954017;10.601731;98.900000;3471.773199;
1443099623.463895;42.954245;10.602825;42.954017;10.601731;99.100000;3479.877655;
