PacketCounter;SampleTimeFine;UTC_Nano;UTC_Year;UTC_Month;UTC_Day;UTC_Hour;UTC_Minute;UTC_Second;UTC_Valid;StatusWord;Acc_X;Acc_Y;Acc_Z;Gyr_X;Gyr_Y;Gyr_Z;Mag_X;Mag_Y;Mag_Z;Roll;Pitch;Yaw;Latitude;Longitude;Altitude;Vel_X;Vel_Y;Vel_Z;tv_sec;tv_usec
137725;483984;483967000;2016;9;30;14;26;7;15;0;-0.146;0.186;9.707;-0.230475;-0.174918;-0.006012;0;0;0;-0.834;-0.774;-22.455;48.418072;-4.473293;88.551;-0.013;0.008;-0.034;;
137745;483984.02;483967020;2016;9;30;14;26;7.02;15;0;-0.162;0.173;9.722;-0.291355;-0.235323;0.021571;0;0;0;-0.833;-0.773;-22.454;48.418072;-4.473293;88.55;-0.013;0.008;-0.035;;
137765;483984.039;483967039;2016;9;30;14;26;7.039;15;0;-0.152;0.153;9.717;-0.172486;-0.185864;0.022124;0;0;0;-0.833;-0.773;-22.454;48.418072;-4.473293;88.549;-0.013;0.009;-0.035;;
137785;483984.06;483967060;2016;9;30;14;26;7.06;15;0;-0.152;0.173;9.717;-0.232614;-0.218012;0.023421;0;0;0;-0.834;-0.776;-22.454;48.418072;-4.473293;88.553;-0.011;0.008;-0.033;;
137805;483984.08;483967080;2016;9;30;14;26;7.08;15;0;-0.141;0.153;9.72;-0.254308;-0.253631;0.017326;0;0;0;-0.833;-0.775;-22.454;48.418072;-4.473293;88.557;-0.01;0.007;-0.03;;
137825;483984.099;483967099;2016;9;30;14;26;7.099;15;0;-0.154;0.175;9.723;-0.209949;-0.209319;-0.016582;0;0;0;-0.834;-0.776;-22.454;48.418072;-4.473293;88.557;-0.01;0.007;-0.03;;
137845;483984.12;483967120;2016;9;30;14;26;7.12;15;0;-0.175;0.168;9.712;-0.195487;-0.217036;0.002439;0;0;0;-0.834;-0.775;-22.454;48.418072;-4.473293;88.556;-0.011;0.008;-0.031;;
137865;483984.139;483967139;2016;9;30;14;26;7.139;15;0;-0.166;0.177;9.716;-0.223905;-0.309495;-0.019569;0;0;0;-0.833;-0.774;-22.454;48.418072;-4.473293;88.555;-0.011;0.008;-0.031;;
137885;483984.159;483967159;2016;9;30;14;26;7.159;15;0;-0.143;0.156;9.697;-0.146419;-0.246855;0.055645;0;0;0;-0.834;-0.773;-22.454;48.418072;-4.473293;88.555;-0.011;0.008;-0.031;;
137905;483984.18;483967180;2016;9;30;14;26;7.18;15;0;-0.159;0.169;9.72;-0.187965;-0.178918;0.028266;0;0;0;-0.834;-0.773;-22.455;48.418072;-4.473293;88.554;-0.011;0.008;-0.032;;
137925;483984.199;483967199;2016;9;30;14;26;7.199;15;0;-0.151;0.167;9.705;-0.297509;-0.215364;0.075588;0;0;0;-0.833;-0.772;-22.455;48.418072;-4.473293;88.553;-0.011;0.008;-0.032;;
137945;483984.219;483967219;2016;9;30;14;26;7.219;15;0;-0.159;0.174;9.736;-0.264699;-0.186975;-0.00161;0;0;0;-0.833;-0.772;-22.455;48.418072;-4.473293;88.553;-0.012;0.008;-0.032;;
137965;483984.24;483967240;2016;9;30;14;26;7.24;15;0;-0.147;0.161;9.718;-0.229085;-0.218924;0.006213;0;0;0;-0.833;-0.772;-22.456;48.418072;-4.473293;88.552;-0.012;0.008;-0.033;;
137985;483984.259;483967259;2016;9;30;14;26;7.259;15;0;-0.142;0.187;9.695;-0.220524;-0.243188;0.010705;0;0;0;-0.834;-0.775;-22.456;48.418072;-4.473293;88.562;-0.009;0.007;-0.031;;
138005;483984.28;483967280;2016;9;30;14;26;7.28;15;0;-0.129;0.163;9.741;-0.25022;-0.272383;0.053562;0;0;0;-0.834;-0.774;-22.456;48.418072;-4.473293;88.573;-0.007;0.007;-0.028;;
138025;483984.3;483967300;2016;9;30;14;26;7.3;15;0;-0.144;0.152;9.711;-0.193912;-0.186177;0.014235;0;0;0;-0.834;-0.775;-22.456;48.418072;-4.473293;88.572;-0.007;0.007;-0.029;;
138045;483984.319;483967319;2016;9;30;14;26;7.319;15;0;-0.145;0.17;9.739;-0.243052;-0.259419;-0.015774;0;0;0;-0.833;-0.774;-22.456;48.418072;-4.473293;88.571;-0.008;0.007;-0.029;;
138065;483984.34;483967340;2016;9;30;14;26;7.34;15;0;-0.154;0.164;9.714;-0.223935;-0.237877;-0.007879;0;0;0;-0.833;-0.775;-22.457;48.418072;-4.473293;88.571;-0.008;0.007;-0.03;;
138085;483984.36;483967360;2016;9;30;14;26;7.36;15;0;-0.152;0.16;9.703;-0.246413;-0.220884;0.052252;0;0;0;-0.832;-0.774;-22.457;48.418072;-4.473293;88.57;-0.008;0.007;-0.03;;
138105;483984.379;483967379;2016;9;30;14;26;7.379;15;0;-0.16;0.178;9.702;-0.224447;-0.237533;0.057833;0;0;0;-0.832;-0.774;-22.457;48.418072;-4.473293;88.569;-0.008;0.007;-0.031;;
138125;483984.4;483967400;2016;9;30;14;26;7.4;15;0;-0.151;0.139;9.722;-0.209367;-0.223006;-0.020665;0;0;0;-0.832;-0.774;-22.456;48.418072;-4.473293;88.569;-0.008;0.007;-0.031;;
138145;483984.419;483967419;2016;9;30;14;26;7.419;15;0;-0.154;0.161;9.703;-0.201004;-0.144436;0.052779;0;0;0;-0.833;-0.774;-22.456;48.418072;-4.473293;88.568;-0.008;0.007;-0.032;;
138165;483984.439;483967439;2016;9;30;14;26;7.439;15;0;-0.15;0.157;9.703;-0.191494;-0.175739;0.024914;0;0;0;-0.833;-0.774;-22.457;48.418072;-4.473293;88.567;-0.009;0.007;-0.032;;
138185;483984.46;483967460;2016;9;30;14;26;7.46;15;0;-0.151;0.155;9.712;-0.240445;-0.260542;0.07397;0;0;0;-0.833;-0.775;-22.457;48.418072;-4.473293;88.572;-0.008;0.006;-0.029;;
138205;483984.479;483967479;2016;9;30;14;26;7.479;15;0;-0.165;0.166;9.706;-0.194546;-0.273072;0.008186;0;0;0;-0.833;-0.775;-22.458;48.418072;-4.473293;88.577;-0.008;0.006;-0.026;;
138225;483984.5;483967500;2016;9;30;14;26;7.5;15;0;-0.156;0.173;9.714;-0.164581;-0.165008;0.014142;0;0;0;-0.833;-0.775;-22.457;48.418072;-4.473293;88.576;-0.008;0.006;-0.026;;
138245;483984.52;483967520;2016;9;30;14;26;7.52;15;0;-0.161;0.163;9.701;-0.243071;-0.204231;0.016205;0;0;0;-0.833;-0.775;-22.458;48.418072;-4.473293;88.575;-0.008;0.006;-0.026;;
138265;483984.539;483967539;2016;9;30;14;26;7.539;15;0;-0.146;0.16;9.71;-0.20568;-0.253431;0.00797;0;0;0;-0.833;-0.775;-22.46;48.418072;-4.473293;88.575;-0.008;0.006;-0.027;;
138285;483984.56;483967560;2016;9;30;14;26;7.56;15;0;-0.154;0.147;9.717;-0.246753;-0.223171;0.018107;0;0;0;-0.832;-0.774;-22.46;48.418072;-4.473293;88.574;-0.009;0.006;-0.027;;
138305;483984.58;483967580;2016;9;30;14;26;7.58;15;0;-0.152;0.177;9.744;-0.225552;-0.236532;-0.019777;0;0;0;-0.832;-0.774;-22.462;48.418072;-4.473293;88.574;-0.009;0.006;-0.027;;
138325;483984.599;483967599;2016;9;30;14;26;7.599;15;0;-0.158;0.181;9.72;-0.212002;-0.177793;-0.005845;0;0;0;-0.832;-0.774;-22.462;48.418072;-4.473293;88.573;-0.009;0.006;-0.028;;
