Time Stamp;GPS Time;UTC Time;UTC Date;UTC Date;UTC Date;UT;UT;UT;Num Sv Used;Correction Age;Accelerometer X;Accelerometer Y;Accelerometer Z;Gyroscope X;Gyroscope Y;Gyroscope Z;Roll;Pitch;Yaw;Latitude;Longitude;Altitude MSL;X Velocity;Y Velocity;Z Velocity
137725.000000;483984.000;483967000;2016;09;30;14;26;07.000;15;0.000000;-0.146;-0.186;-9.707;-0.230475;0.174918;0.006012;0.834;-0.774;22.455;48.418071554;-4.473293418;88.551;-0.013;-0.008;0.034
137745.000000;483984.020;483967020;2016;09;30;14;26;07.020;15;0.000000;-0.162;-0.173;-9.722;-0.291355;0.235323;-0.021571;0.833;-0.773;22.454;48.418071552;-4.473293421;88.550;-0.013;-0.008;0.035
137765.000000;483984.039;483967039;2016;09;30;14;26;07.039;15;0.000000;-0.152;-0.153;-9.717;-0.172486;0.185864;-0.022124;0.833;-0.773;22.454;48.418071550;-4.473293425;88.549;-0.013;-0.009;0.035
137785.000000;483984.060;483967060;2016;09;30;14;26;07.060;15;0.000000;-0.152;-0.173;-9.717;-0.232614;0.218012;-0.023421;0.834;-0.776;22.454;48.418071567;-4.473293400;88.553;-0.011;-0.008;0.033
137805.000000;483984.080;483967080;2016;09;30;14;26;07.080;15;0.000000;-0.141;-0.153;-9.720;-0.254308;0.253631;-0.017326;0.833;-0.775;22.454;48.418071584;-4.473293375;88.557;-0.010;-0.007;0.030
137825.000000;483984.099;483967099;2016;09;30;14;26;07.099;15;0.000000;-0.154;-0.175;-9.723;-0.209949;0.209319;0.016582;0.834;-0.776;22.454;48.418071583;-4.473293378;88.557;-0.010;-0.007;0.030
137845.000000;483984.120;483967120;2016;09;30;14;26;07.120;15;0.000000;-0.175;-0.168;-9.712;-0.195487;0.217036;-0.002439;0.834;-0.775;22.454;48.418071581;-4.473293382;88.556;-0.011;-0.008;0.031
137865.000000;483984.139;483967139;2016;09;30;14;26;07.139;15;0.000000;-0.166;-0.177;-9.716;-0.223905;0.309495;0.019569;0.833;-0.774;22.454;48.418071580;-4.473293385;88.555;-0.011;-0.008;0.031
137885.000000;483984.159;483967159;2016;09;30;14;26;07.159;15;0.000000;-0.143;-0.156;-9.697;-0.146419;0.246855;-0.055645;0.834;-0.773;22.454;48.418071578;-4.473293389;88.555;-0.011;-0.008;0.031
137905.000000;483984.180;483967180;2016;09;30;14;26;07.180;15;0.000000;-0.159;-0.169;-9.720;-0.187965;0.178918;-0.028266;0.834;-0.773;22.455;48.418071577;-4.473293392;88.554;-0.011;-0.008;0.032
137925.000000;483984.199;483967199;2016;09;30;14;26;07.199;15;0.000000;-0.151;-0.167;-9.705;-0.297509;0.215364;-0.075588;0.833;-0.772;22.455;48.418071575;-4.473293396;88.553;-0.011;-0.008;0.032
137945.000000;483984.219;483967219;2016;09;30;14;26;07.219;15;0.000000;-0.159;-0.174;-9.736;-0.264699;0.186975;0.001610;0.833;-0.772;22.455;48.418071574;-4.473293399;88.553;-0.012;-0.008;0.032
137965.000000;483984.240;483967240;2016;09;30;14;26;07.240;15;0.000000;-0.147;-0.161;-9.718;-0.229085;0.218924;-0.006213;0.833;-0.772;22.456;48.418071572;-4.473293403;88.552;-0.012;-0.008;0.033
137985.000000;483984.259;483967259;2016;09;30;14;26;07.259;15;0.000000;-0.142;-0.187;-9.695;-0.220524;0.243188;-0.010705;0.834;-0.775;22.456;48.418071599;-4.473293288;88.562;-0.009;-0.007;0.031
138005.000000;483984.280;483967280;2016;09;30;14;26;07.280;15;0.000000;-0.129;-0.163;-9.741;-0.250220;0.272383;-0.053562;0.834;-0.774;22.456;48.418071627;-4.473293173;88.573;-0.007;-0.007;0.028
138025.000000;483984.300;483967300;2016;09;30;14;26;07.300;15;0.000000;-0.144;-0.152;-9.711;-0.193912;0.186177;-0.014235;0.834;-0.775;22.456;48.418071626;-4.473293176;88.572;-0.007;-0.007;0.029
138045.000000;483984.319;483967319;2016;09;30;14;26;07.319;15;0.000000;-0.145;-0.170;-9.739;-0.243052;0.259419;0.015774;0.833;-0.774;22.456;48.418071624;-4.473293179;88.571;-0.008;-0.007;0.029
138065.000000;483984.340;483967340;2016;09;30;14;26;07.340;15;0.000000;-0.154;-0.164;-9.714;-0.223935;0.237877;0.007879;0.833;-0.775;22.457;48.418071623;-4.473293182;88.571;-0.008;-0.007;0.030
138085.000000;483984.360;483967360;2016;09;30;14;26;07.360;15;0.000000;-0.152;-0.160;-9.703;-0.246413;0.220884;-0.052252;0.832;-0.774;22.457;48.418071622;-4.473293185;88.570;-0.008;-0.007;0.030
138105.000000;483984.379;483967379;2016;09;30;14;26;07.379;15;0.000000;-0.160;-0.178;-9.702;-0.224447;0.237533;-0.057833;0.832;-0.774;22.457;48.418071621;-4.473293188;88.569;-0.008;-0.007;0.031
138125.000000;483984.400;483967400;2016;09;30;14;26;07.400;15;0.000000;-0.151;-0.139;-9.722;-0.209367;0.223006;0.020665;0.832;-0.774;22.456;48.418071620;-4.473293191;88.569;-0.008;-0.007;0.031
138145.000000;483984.419;483967419;2016;09;30;14;26;07.419;15;0.000000;-0.154;-0.161;-9.703;-0.201004;0.144436;-0.052779;0.833;-0.774;22.456;48.418071619;-4.473293194;88.568;-0.008;-0.007;0.032
138165.000000;483984.439;483967439;2016;09;30;14;26;07.439;15;0.000000;-0.150;-0.157;-9.703;-0.191494;0.175739;-0.024914;0.833;-0.774;22.457;48.418071618;-4.473293197;88.567;-0.009;-0.007;0.032
138185.000000;483984.460;483967460;2016;09;30;14;26;07.460;15;0.000000;-0.151;-0.155;-9.712;-0.240445;0.260542;-0.073970;0.833;-0.775;22.457;48.418071622;-4.473293190;88.572;-0.008;-0.006;0.029
138205.000000;483984.479;483967479;2016;09;30;14;26;07.479;15;0.000000;-0.165;-0.166;-9.706;-0.194546;0.273072;-0.008186;0.833;-0.775;22.458;48.418071626;-4.473293183;88.577;-0.008;-0.006;0.026
138225.000000;483984.500;483967500;2016;09;30;14;26;07.500;15;0.000000;-0.156;-0.173;-9.714;-0.164581;0.165008;-0.014142;0.833;-0.775;22.457;48.418071625;-4.473293186;88.576;-0.008;-0.006;0.026
138245.000000;483984.520;483967520;2016;09;30;14;26;07.520;15;0.000000;-0.161;-0.163;-9.701;-0.243071;0.204231;-0.016205;0.833;-0.775;22.458;48.418071624;-4.473293189;88.575;-0.008;-0.006;0.026
138265.000000;483984.539;483967539;2016;09;30;14;26;07.539;15;0.000000;-0.146;-0.160;-9.710;-0.205680;0.253431;-0.007970;0.833;-0.775;22.460;48.418071623;-4.473293192;88.575;-0.008;-0.006;0.027
138285.000000;483984.560;483967560;2016;09;30;14;26;07.560;15;0.000000;-0.154;-0.147;-9.717;-0.246753;0.223171;-0.018107;0.832;-0.774;22.460;48.418071622;-4.473293194;88.574;-0.009;-0.006;0.027
138305.000000;483984.580;483967580;2016;09;30;14;26;07.580;15;0.000000;-0.152;-0.177;-9.744;-0.225552;0.236532;0.019777;0.832;-0.774;22.462;48.418071620;-4.473293197;88.574;-0.009;-0.006;0.027
