48694.000000;48.418448;-4.472207;
48695.000000;48.418448;-4.472205;
48696.000000;48.418448;-4.472205;
48697.000000;48.418448;-4.472205;
48698.000000;48.418452;-4.472203;
48699.000000;48.418452;-4.472203;
48700.000000;48.418457;-4.472198;
48701.000000;48.418458;-4.472197;
48702.000000;48.418460;-4.472195;
48703.000000;48.418460;-4.472193;
48704.000000;48.418463;-4.472190;
48705.000000;48.418467;-4.472187;
48706.000000;48.418470;-4.472185;
48707.000000;48.418472;-4.472182;
48708.000000;48.418473;-4.472180;
48709.000000;48.418473;-4.472178;
48710.000000;48.418475;-4.472177;
48711.000000;48.418475;-4.472175;
48712.000000;48.418475;-4.472173;
48713.000000;48.418475;-4.472172;
48714.000000;48.418475;-4.472172;
48715.000000;48.418473;-4.472170;
48716.000000;48.418473;-4.472170;
48717.000000;48.418472;-4.472170;
48718.000000;48.418470;-4.472170;
48719.000000;48.418470;-4.472170;
48720.000000;48.418468;-4.472170;
48721.000000;48.418468;-4.472170;
48722.000000;48.418467;-4.472170;
48723.000000;48.418465;-4.472170;
48724.000000;48.418465;-4.472170;
48725.000000;48.418465;-4.472170;
48726.000000;48.418463;-4.472170;
48727.000000;48.418462;-4.472170;
48728.000000;48.418462;-4.472170;
48729.000000;48.418460;-4.472170;
48730.000000;48.418458;-4.472170;
48731.000000;48.418458;-4.472170;
48732.000000;48.418457;-4.472170;
48733.000000;48.418455;-4.472170;
48734.000000;48.418455;-4.472172;
48735.000000;48.418453;-4.472172;
48736.000000;48.418452;-4.472170;
48737.000000;48.418450;-4.472172;
48738.000000;48.418450;-4.472172;
48739.000000;48.418448;-4.472172;
48740.000000;48.418447;-4.472172;
48741.000000;48.418445;-4.472172;
48742.000000;48.418443;-4.472170;
48743.000000;48.418442;-4.472170;
48744.000000;48.418440;-4.472170;
48745.000000;48.418438;-4.472170;
48746.000000;48.418435;-4.472168;
48747.000000;48.418433;-4.472168;
48748.000000;48.418433;-4.472165;118.000000;
48749.000000;48.418435;-4.472162;118.200000;
48750.000000;48.418437;-4.472160;118.300000;
48751.000000;48.418432;-4.472157;118.500000;
48752.000000;48.418427;-4.472153;118.800000;
48753.000000;48.418423;-4.472150;119.200000;
48754.000000;48.418423;-4.472148;119.500000;
48755.000000;48.418420;-4.472147;119.800000;
48756.000000;48.418418;-4.472145;120.200000;
48757.000000;48.418417;-4.472143;120.600000;
48758.000000;48.418415;-4.472142;121.000000;
48759.000000;48.418415;-4.472140;121.400000;
48760.000000;48.418413;-4.472138;121.800000;
48761.000000;48.418412;-4.472138;122.200000;
48762.000000;48.418410;-4.472137;122.600000;
48763.000000;48.418408;-4.472137;123.000000;
48764.000000;48.418407;-4.472135;123.300000;
48765.000000;48.418405;-4.472135;123.700000;
48766.000000;48.418405;-4.472133;124.100000;
48767.000000;48.418403;-4.472133;124.400000;
48768.000000;48.418400;-4.472133;124.800000;
48769.000000;48.418400;-4.472132;125.200000;
48770.000000;48.418398;-4.472132;125.500000;
48771.000000;48.418397;-4.472130;125.800000;
48772.000000;48.418395;-4.472130;126.100000;
48773.000000;48.418393;-4.472130;126.400000;
48774.000000;48.418392;-4.472128;126.700000;
48775.000000;48.418392;-4.472128;127.000000;
48776.000000;48.418390;-4.472128;127.300000;
48777.000000;48.418388;-4.472127;127.500000;
48778.000000;48.418387;-4.472127;127.800000;
48779.000000;48.418385;-4.472127;128.000000;
48780.000000;48.418383;-4.472125;128.200000;
48781.000000;48.418382;-4.472123;128.400000;
48782.000000;48.418380;-4.472123;128.600000;
48783.000000;48.418378;-4.472123;128.800000;
48784.000000;48.418377;-4.472122;129.000000;
48785.000000;48.418375;-4.472122;129.100000;
48786.000000;48.418373;-4.472120;129.200000;
48787.000000;48.418373;-4.472120;129.300000;
48788.000000;48.418372;-4.472120;129.400000;
48789.000000;48.418370;-4.472120;129.500000;
48790.000000;48.418370;-4.472118;129.600000;
48791.000000;48.418370;-4.472117;129.600000;
48792.000000;48.418368;-4.472117;129.600000;
48793.000000;48.418368;-4.472115;129.600000;
48794.000000;48.418368;-4.472113;129.600000;
48795.000000;48.418368;-4.472113;129.600000;
48796.000000;48.418368;-4.472113;129.500000;
48797.000000;48.418367;-4.472112;129.400000;
48798.000000;48.418367;-4.472112;129.400000;
48799.000000;48.418367;-4.472112;129.300000;
48800.000000;48.418367;-4.472110;129.200000;
48801.000000;48.418363;-4.472110;129.200000;
48802.000000;48.418362;-4.472108;129.100000;
48803.000000;48.418358;-4.472107;129.100000;
48804.000000;48.418358;-4.472105;129.000000;
48848.000000;48.418262;-4.472077;129.000000;
48850.000000;48.418268;-4.472077;129.100000;
48851.000000;48.418272;-4.472077;129.300000;
48852.000000;48.418277;-4.472078;129.400000;
48853.000000;48.418280;-4.472078;129.600000;
48854.000000;48.418283;-4.472080;129.600000;
48855.000000;48.418287;-4.472082;129.600000;
48857.000000;48.418293;-4.472083;129.500000;
48859.000000;48.418298;-4.472083;129.300000;
49182.000000;48.418233;-4.472038;129.400000;
49183.000000;48.418235;-4.472040;129.600000;
49184.000000;48.418238;-4.472040;129.700000;
49185.000000;48.418238;-4.472042;129.700000;
49186.000000;48.418240;-4.472043;129.700000;
49187.000000;48.418242;-4.472043;129.600000;
49188.000000;48.418243;-4.472045;129.500000;
49189.000000;48.418245;-4.472047;129.300000;
49190.000000;48.418247;-4.472048;129.200000;
49191.000000;48.418248;-4.472050;129.000000;
49192.000000;48.418250;-4.472050;128.800000;
49193.000000;48.418252;-4.472052;128.500000;
49194.000000;48.418253;-4.472052;128.200000;
49195.000000;48.418253;-4.472052;127.900000;
49196.000000;48.418255;-4.472053;127.600000;
49197.000000;48.418257;-4.472055;127.300000;
49198.000000;48.418258;-4.472055;126.900000;
49199.000000;48.418260;-4.472057;126.600000;
49200.000000;48.418262;-4.472057;126.200000;
49201.000000;48.418263;-4.472057;125.800000;
49202.000000;48.418265;-4.472058;125.400000;
49203.000000;48.418265;-4.472058;125.000000;
49204.000000;48.418267;-4.472058;124.600000;
49205.000000;48.418267;-4.472058;124.200000;
49206.000000;48.418268;-4.472058;123.700000;
49207.000000;48.418268;-4.472060;123.300000;
49208.000000;48.418268;-4.472060;122.900000;
49209.000000;48.418270;-4.472060;122.400000;
49210.000000;48.418272;-4.472060;122.000000;
49211.000000;48.418273;-4.472060;121.600000;
49212.000000;48.418275;-4.472060;121.100000;
49213.000000;48.418277;-4.472060;120.700000;
49214.000000;48.418277;-4.472060;120.300000;
49215.000000;48.418278;-4.472062;119.800000;
49216.000000;48.418280;-4.472062;119.300000;
49217.000000;48.418282;-4.472062;118.900000;
49218.000000;48.418283;-4.472062;118.400000;
49219.000000;48.418283;-4.472062;118.000000;
49220.000000;48.418285;-4.472062;117.600000;
49221.000000;48.418287;-4.472062;117.100000;
49222.000000;48.418288;-4.472063;116.700000;
49223.000000;48.418290;-4.472063;116.200000;
49224.000000;48.418292;-4.472063;115.700000;
49225.000000;48.418293;-4.472065;115.200000;
49226.000000;48.418295;-4.472067;114.700000;
49227.000000;48.418295;-4.472067;114.300000;
49228.000000;48.418297;-4.472067;113.800000;
49229.000000;48.418297;-4.472067;113.300000;
49230.000000;48.418298;-4.472067;112.800000;
49231.000000;48.418298;-4.472067;112.400000;
49232.000000;48.418298;-4.472067;112.000000;
49233.000000;48.418300;-4.472067;111.500000;
49234.000000;48.418298;-4.472067;111.100000;
49235.000000;48.418300;-4.472067;110.700000;
49236.000000;48.418298;-4.472067;110.300000;
49237.000000;48.418298;-4.472067;109.900000;
49238.000000;48.418298;-4.472067;109.600000;
49239.000000;48.418298;-4.472067;109.300000;
49240.000000;48.418297;-4.472067;108.900000;
49241.000000;48.418297;-4.472067;108.600000;
49242.000000;48.418297;-4.472067;108.300000;
49243.000000;48.418297;-4.472067;107.900000;
49244.000000;48.418295;-4.472067;107.600000;
49245.000000;48.418295;-4.472067;107.300000;
49246.000000;48.418295;-4.472067;107.000000;
49247.000000;48.418295;-4.472068;106.800000;
49248.000000;48.418295;-4.472068;106.500000;
49249.000000;48.418293;-4.472068;106.200000;
49250.000000;48.418293;-4.472068;106.000000;
49251.000000;48.418293;-4.472068;105.700000;
49252.000000;48.418293;-4.472068;105.400000;
49253.000000;48.418292;-4.472070;105.200000;
49254.000000;48.418292;-4.472070;104.900000;
49255.000000;48.418292;-4.472070;104.700000;
49256.000000;48.418290;-4.472070;104.500000;
49257.000000;48.418288;-4.472072;104.200000;
49258.000000;48.418288;-4.472072;104.000000;
49259.000000;48.418287;-4.472072;103.800000;
49260.000000;48.418287;-4.472072;103.600000;
49261.000000;48.418285;-4.472073;103.400000;
49262.000000;48.418283;-4.472073;103.200000;
49263.000000;48.418283;-4.472073;103.000000;
49264.000000;48.418282;-4.472073;102.900000;
49265.000000;48.418282;-4.472073;102.700000;
49266.000000;48.418280;-4.472073;102.500000;
49267.000000;48.418280;-4.472075;102.300000;
49268.000000;48.418278;-4.472075;102.200000;
49269.000000;48.418278;-4.472075;101.900000;
49270.000000;48.418278;-4.472077;101.800000;
49271.000000;48.418278;-4.472077;101.500000;
49272.000000;48.418277;-4.472077;101.300000;
49273.000000;48.418277;-4.472078;101.100000;
49274.000000;48.418275;-4.472078;100.900000;
49275.000000;48.418275;-4.472078;100.700000;
49276.000000;48.418275;-4.472078;100.400000;
49277.000000;48.418273;-4.472078;100.200000;
49278.000000;48.418273;-4.472078;100.000000;
49279.000000;48.418272;-4.472080;99.800000;
49280.000000;48.418270;-4.472080;99.500000;
49281.000000;48.418270;-4.472080;99.200000;
49282.000000;48.418268;-4.472080;99.000000;
49283.000000;48.418268;-4.472082;98.700000;
49284.000000;48.418268;-4.472082;98.400000;
49285.000000;48.418268;-4.472082;98.100000;
49286.000000;48.418267;-4.472082;97.800000;
49287.000000;48.418267;-4.472082;97.600000;
49288.000000;48.418265;-4.472082;97.300000;
49289.000000;48.418265;-4.472082;97.000000;
