Time Stamp;GPS Time;UTC Time;UTC Date;UT;UT;UT;Num Sv Used;Correction Age;Accelerometer X;Accelerometer Y;Accelerometer Z;Gyroscope X;Gyroscope Y;Gyroscope Z;Magnetometer X;Magnetometer Y;Magnetometer Z;Roll;Pitch;Yaw;Latitude;Longitude;Altitude MSL;X Velocity;Y Velocity;Z Velocity
867130.000000;865.940;173665940;2017-02-21;00;14;25.940;0;0.000000;0.904;-1.626;-9.617;-0.366063;0.402071;0.000672;0.252364;-0.047246;0.988615;9.660;5.280;53.973;48.880835050;2.182192717;-17797.088;-2.612;12.097;37.443
867150.000000;865.960;173665960;2017-02-21;00;14;25.960;0;0.000000;0.901;-1.614;-9.588;-0.287399;0.311144;0.043687;0.252681;-0.047088;0.986924;9.658;5.281;53.975;48.880834332;2.182193844;-17797.869;-2.613;12.097;37.443
867170.000000;865.980;173665980;2017-02-21;00;14;25.980;0;0.000000;0.895;-1.595;-9.608;-0.309340;0.272947;-0.028463;0.252999;-0.046930;0.985234;9.656;5.282;53.962;48.880833614;2.182194970;-17798.649;-2.615;12.097;37.444
867190.000000;866.000;173666000;2017-02-21;00;14;26.000;0;0.000000;0.899;-1.610;-9.598;-0.353146;0.304824;0.052281;0.253317;-0.046772;0.983543;9.655;5.282;53.964;48.880832897;2.182196096;-17799.429;-2.614;12.096;37.445
867210.000000;866.019;173666019;2017-02-21;00;14;26.019;0;0.000000;0.882;-1.601;-9.574;-0.283209;0.225131;0.012737;0.251899;-0.047564;0.987960;9.653;5.281;53.953;48.880832179;2.182197222;-17800.210;-2.615;12.096;37.446
867230.000000;866.039;173666039;2017-02-21;00;14;26.039;0;0.000000;0.909;-1.602;-9.611;-0.295626;0.189636;0.069208;0.250482;-0.048355;0.992378;9.652;5.280;53.954;48.880831461;2.182198348;-17800.990;-2.615;12.096;37.447
867250.000000;866.059;173666059;2017-02-21;00;14;26.059;0;0.000000;0.902;-1.606;-9.595;-0.201753;0.179350;0.033127;0.248780;-0.046514;0.989870;9.652;5.279;53.956;48.880830743;2.182199475;-17801.771;-2.613;12.096;37.448
867270.000000;866.079;173666079;2017-02-21;00;14;26.079;0;0.000000;0.903;-1.606;-9.592;-0.228114;0.183716;0.058701;0.247077;-0.044673;0.987362;9.652;5.277;53.945;48.880830025;2.182200602;-17802.551;-2.613;12.097;37.448
867290.000000;866.099;173666099;2017-02-21;00;14;26.099;0;0.000000;0.898;-1.618;-9.605;-0.206876;0.222859;0.068049;0.249725;-0.046364;0.985473;9.653;5.275;53.947;48.880829307;2.182201728;-17803.332;-2.612;12.098;37.449
867310.000000;866.119;173666119;2017-02-21;00;14;26.119;0;0.000000;0.907;-1.626;-9.614;-0.158807;0.176063;0.050310;0.252372;-0.048055;0.983585;9.653;5.272;53.935;48.880828589;2.182202855;-17804.112;-2.611;12.099;37.449
867330.000000;866.139;173666139;2017-02-21;00;14;26.139;0;0.000000;0.901;-1.595;-9.597;-0.188550;0.078834;0.112720;0.254240;-0.048096;0.983706;9.654;5.269;53.937;48.880827871;2.182203981;-17804.892;-2.609;12.100;37.450
867350.000000;866.159;173666159;2017-02-21;00;14;26.159;0;0.000000;0.886;-1.614;-9.626;-0.158184;0.108684;0.076174;0.256108;-0.048136;0.983828;9.654;5.266;53.939;48.880827152;2.182205108;-17805.673;-2.607;12.101;37.450
867370.000000;866.179;173666179;2017-02-21;00;14;26.179;0;0.000000;0.884;-1.615;-9.603;-0.178255;0.106183;0.089439;0.254392;-0.048266;0.985386;9.655;5.262;53.928;48.880826434;2.182206235;-17806.453;-2.605;12.102;37.451
867390.000000;866.199;173666199;2017-02-21;00;14;26.199;0;0.000000;0.895;-1.618;-9.613;-0.154084;0.049312;0.113701;0.252677;-0.048396;0.986945;9.656;5.259;53.930;48.880825716;2.182207362;-17807.234;-2.603;12.104;37.451
